Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107566-86631,WR,CeeDee,CeeDee Lamb,Lamb,13.725000381469727,4,9400,DAL@PIT,DAL,PIT,,,,,,WR/FLEX
107566-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,15.125,4,9300,BAL@CIN,CIN,BAL,,,,,,WR/FLEX
107566-62239,QB,Josh,Josh Allen,Allen,19.790000915527344,4,9300,BUF@HOU,BUF,HOU,,,,,,QB
107566-39280,RB,Derrick,Derrick Henry,Henry,24.25,4,9200,BAL@CIN,BAL,CIN,,,,,,RB/FLEX
107566-91419,WR,Nico,Nico Collins,Collins,21.225000381469727,4,8800,BUF@HOU,HOU,BUF,,,,,,WR/FLEX
107566-63115,QB,Lamar,Lamar Jackson,Jackson,23.780000686645508,4,8800,BAL@CIN,BAL,CIN,,,,,,QB
107566-102785,QB,Jayden,Jayden Daniels,Daniels,23.670000076293945,4,8700,CLE@WAS,WAS,CLE,,,,,,QB
107566-86875,RB,Jordan,Jordan Mason,Mason,20.100000381469727,4,8700,ARI@SF,SF,ARI,,,,,,RB/FLEX
107566-53681,WR,Tyreek,Tyreek Hill,Hill,10.574999809265137,4,8600,MIA@NE,MIA,NE,,,,,,WR/FLEX
107566-89675,RB,Jonathan,Jonathan Taylor,Taylor,18.899999618530273,4,8500,IND@JAC,IND,JAC,Q,Ankle,,,,RB/FLEX
107566-129471,QB,C.J.,C.J. Stroud,Stroud,17.815000534057617,4,8400,BUF@HOU,HOU,BUF,,,,,,QB
107566-104433,RB,Kyren,Kyren Williams,Williams,18.774999618530273,4,8400,GB@LAR,LAR,GB,,,,,,RB/FLEX
107566-73048,WR,DK,DK Metcalf,Metcalf,16.899999618530273,4,8200,NYG@SEA,SEA,NYG,,,,,,WR/FLEX
107566-69017,QB,Jordan,Jordan Love,Love,25.780000686645508,2,8200,GB@LAR,GB,LAR,Q,Knee,,,,QB
107566-91626,RB,James,James Cook,Cook,15.449999809265137,4,8200,BUF@HOU,BUF,HOU,,,,,,RB/FLEX
107566-151761,WR,Malik,Malik Nabers,Nabers,20.024999618530273,4,8100,NYG@SEA,NYG,SEA,Q,Concussion,,,,WR/FLEX
107566-52442,RB,Joe,Joe Mixon,Mixon,17.399999618530273,2,8000,BUF@HOU,HOU,BUF,Q,Ankle,,,,RB/FLEX
107566-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,13.966667175292969,3,8000,ARI@SF,SF,ARI,,,,,,WR/FLEX
107566-31716,QB,Dak,Dak Prescott,Prescott,18.9950008392334,4,8000,DAL@PIT,DAL,PIT,,,,,,QB
