nfl_player_id,nfl_player_name,nfl_display_name,nfl_position,nfl_position_group,sportradar_player_id,sportradar_name,sportradar_display_name,sportradar_first_name,sportradar_last_name,sportradar_position,sportradar_jersey,sportradar_height,sportradar_weight,sportradar_birth_date,sportradar_experience,sportradar_college,sportradar_team_alias,sportradar_status,match_type,match_score
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,0ce48193-e2fa-466e-a986-33f751add206,Aaron Rodgers,,Aaron,Rodgers,QB,8.0,74,223.0,1983-12-02,21,California,PIT,ACT,exact_name_position,1.0
00-0023500,F.Gore,Frank Gore,RB,RB,cd4c8e90-06f7-11ef-a3ab-0317e25dec4e,Frank Gore Jr.,,Frank,Gore,RB,20.0,68,195.0,2002-03-13,1,Southern Miss,BUF,ACT,fuzzy_name_position,1.0
00-0026158,J.Flacco,Joe Flacco,QB,QB,64797df2-efd3-4b27-86ee-1d48f7edb09f,Joe Flacco,,Joe,Flacco,QB,15.0,78,245.0,1985-01-16,19,Delaware,CLE,ACT,exact_name_position,1.0
00-0026300,J.Johnson,Josh Johnson,QB,QB,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1,Josh Johnson,,Josh,Johnson,QB,14.0,75,219.0,1986-05-15,11,San Diego,WAS,ACT,exact_name_position,1.0
00-0026498,M.Stafford,Matthew Stafford,QB,QB,ade43b1a-0601-4672-83b6-d246bc066a19,Matthew Stafford,,Matthew,Stafford,QB,9.0,75,214.0,1988-02-07,17,Georgia,LA,ACT,exact_name_position,1.0
00-0027114,T.Morstead,Thomas Morstead,P,SPEC,e5371625-0c83-4f1f-9252-c7e0b6bc616e,Thomas Morstead,,Thomas,Morstead,P,7.0,76,225.0,1986-03-08,17,SMU,SF,ACT,exact_name_position,1.0
00-0027857,T.Williams,Trent Williams,T,OL,b070601c-7985-4a1c-b71a-9f72bb5dbc59,Trent Williams,,Trent,Williams,OT,71.0,77,320.0,1988-07-19,16,Oklahoma,SF,ACT,fuzzy_name_position,1.0
00-0027973,A.Dalton,Andy Dalton,QB,QB,d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1,Andy Dalton,,Andy,Dalton,QB,14.0,74,220.0,1987-10-29,15,TCU,CAR,ACT,exact_name_position,1.0
00-0028118,T.Taylor,Tyrod Taylor,QB,QB,7f3ef024-eb34-46af-8b9e-544cdf09378f,Tyrod Taylor,,Tyrod,Taylor,QB,2.0,73,217.0,1989-08-03,15,Virginia Tech,NYJ,ACT,exact_name_position,1.0
00-0028292,N.Bellore,Nick Bellore,ILB,LB,eeb9e3f4-e378-44ca-94b6-a724011ad710,Nick Bellore,,Nick,Bellore,LB,57.0,73,250.0,1989-05-12,15,Central Michigan,WAS,ACT,fuzzy_name_position,1.0
00-0028872,J.Hekker,Johnny Hekker,P,SPEC,380435a9-1833-4381-a12b-498a43732798,Johnny Hekker,,Johnny,Hekker,P,3.0,77,225.0,1990-02-08,14,Oregon State,TEN,ACT,exact_name_position,1.0
00-0028986,C.Keenum,Case Keenum,QB,QB,1b3d350a-478b-4542-a430-d12cc96adc22,Case Keenum,,Case,Keenum,QB,11.0,73,220.0,1988-02-17,13,Houston,CHI,ACT,exact_name_position,1.0
00-0029263,R.Wilson,Russell Wilson,QB,QB,409d4cac-ee90-4470-9710-ebe671678339,Russell Wilson,,Russell,Wilson,QB,3.0,71,206.0,1988-11-29,14,Wisconsin,NYG,ACT,exact_name_position,1.0
