player_id,player_name,player_display_name,position_x,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,gsis_id,position_y,game_id,offensive_snaps,defensive_snaps,special_teams_snaps,total_snaps,offensive_snap_pct,defensive_snap_pct,special_teams_snap_pct,gsis_id_depth_chart,position,depth_team,fanduel_fantasy_points,seasons_played,last_season,total_games
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2018,1,REG,HOU,26,39,277.0,3,1.0,2.0,10.0,0,0,320.0,93.0,16.0,8.182894,0,0.865625,0.1503198,1,2.0,0,0.0,0.0,1.0,1.8376273,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,21.28,21.28,00-0019596,QB,2018_01_HOU_NE,76.0,0.0,0.0,76.0,100.0,0.0,0.0,00-0019596,QB,1.0,22.28,5,2022,97
00-0020531,D.Brees,Drew Brees,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i20xlpzdmn7xubotijjd",NO,2018,1,REG,TB,37,45,439.0,3,0.0,1.0,7.0,0,0,348.0,167.0,19.0,22.273556,1,1.2614943,0.2854841,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,31.56,31.56,00-0020531,QB,2018_01_TB_NO,66.0,0.0,0.0,66.0,100.0,0.0,0.0,00-0020531,QB,1.0,32.56,3,2020,45
00-0021206,J.McCown,Josh McCown,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qcauc37wqjdaxdbq1evu",NYJ,2018,10,REG,BUF,17,34,135.0,0,2.0,3.0,19.0,0,0,185.0,106.0,7.0,-21.17874,0,0.7297297,-0.07052256,1,4.0,0,0.0,0.0,0.0,-0.14259873,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,1.8,1.8,00-0021206,QB,2018_10_BUF_NYJ,57.0,0.0,0.0,57.0,100.0,0.0,0.0,00-0021206,QB,2.0,3.8,2,2019,8
00-0021547,A.Gates,Antonio Gates,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kndulvysinvn4tpvt0bc",LAC,2018,1,REG,KC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,3,16.0,0,0.0,0.0,27.0,5.0,1.0,0.90538645,1,0.5925926,0.06,0.055900622,0.12913044,0.0,3.6,5.6,00-0021547,TE,2018_01_KC_LAC,34.0,0.0,0.0,34.0,40.963855421686745,0.0,0.0,00-0021547,TE,2.0,2.6,1,2018,18
00-0022127,J.Witten,Jason Witten,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/r7uafhtwuexuaty0nhsc",DAL,2019,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,4,15.0,1,0.0,0.0,3.0,16.0,1.0,0.06046539,0,5.0,0.125,0.009966778,0.19447674,0.0,7.5,10.5,00-0022127,TE,2019_01_NYG_DAL,43.0,0.0,6.0,49.0,65.15151515151516,0.0,23.07692307692308,00-0022127,TE,1.0,9.0,2,2020,26
00-0022787,M.Schaub,Matt Schaub,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mj2kh2nddxnw04ludcx0",ATL,2018,2,REG,CAR,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,0.0,0,1.0,0.0,0.0,-1.4048574,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.0,0.0,00-0022787,QB,2018_02_CAR_ATL,1.0,0.0,0.0,1.0,1.5873015873015872,0.0,0.0,00-0022787,QB,2.0,-2.0,3,2020,9
00-0022803,E.Manning,Eli Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w51tf8uedjftbr4qpaex",NYG,2018,1,REG,JAX,23,37,224.0,0,1.0,2.0,14.0,0,0,249.0,86.0,8.0,-11.798196,0,0.8995984,-0.0006408732,1,2.0,0,0.0,0.0,0.0,-0.40816638,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,7.16,7.16,00-0022803,QB,2018_01_JAX_NYG,71.0,0.0,0.0,71.0,98.61111111111111,0.0,0.0,00-0022803,QB,1.0,8.16,2,2019,20
00-0022824,A.Lee,Andy Lee,P,SPEC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bfozbs2h9jueavslvw3z",ARI,2019,10,REG,TB,1,1,26.0,0,0.0,0.0,-0.0,0,0,26.0,0.0,1.0,4.2406874,0,1.0,,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,1.04,1.04,00-0022824,P,2019_10_ARI_TB,1.0,0.0,8.0,9.0,1.4285714285714286,0.0,26.666666666666668,00-0022824,P,1.0,1.04,4,2022,8
00-0022921,L.Fitzgerald,Larry Fitzgerald,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ycgjjaad5un42gy4pnga",ARI,2018,1,REG,WAS,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,7,10,76.0,0,0.0,0.0,90.0,21.0,3.0,2.1039133,0,0.84444445,0.29411766,0.43269232,0.7440611,0.0,7.6,14.6,00-0022921,WR,2018_01_WAS_ARI,52.0,0.0,0.0,52.0,98.1132075471698,0.0,0.0,00-0022921,WR,1.0,11.1,3,2020,45
00-0022924,B.Roethlisberger,Ben Roethlisberger,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vziogpnyp9d0xtpiuqhr",PIT,2018,1,REG,CLE,23,41,335.0,1,3.0,4.0,22.0,2,2,382.0,213.0,17.0,-6.6874714,0,0.8769634,-0.021597028,3,16.0,0,0.0,0.0,2.0,3.0177445,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,9.0,9.0,00-0022924,QB,2018_01_PIT_CLE,84.0,0.0,0.0,84.0,100.0,0.0,0.0,00-0022924,QB,1.0,15.0,4,2021,53
