player_id,player_name,player_display_name,position_x,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,gsis_id,position_y,game_id,pfr_game_id,game_type,pfr_player_id,position,team,opponent,offensive_snaps,offensive_snap_pct,defensive_snaps,defensive_snap_pct,special_teams_snaps,special_teams_snap_pct,total_snaps,gsis_id_depth_chart,position_depth_chart,depth_team,fanduel_fantasy_points,avg_fppg,seasons_played,last_season,total_games
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",NE,2018,1,REG,HOU,26.0,39.0,277.0,3.0,1.0,2.0,10.0,0.0,0.0,320.0,93.0,16.0,8.182893753051758,0.0,0.8656250238418579,0.1503197997808456,1.0,2.0,0.0,0.0,0.0,1.0,1.8376272916793823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,21.280000686645508,21.280000686645508,00-0019596,QB,2018_01_HOU_NE,201809090nwe,REG,BradTo00,QB,NE,HOU,75.0,100.0,0.0,0.0,0.0,0.0,75.0,00-0019596,QB,1.0,22.28,0.0,5,2022,102
00-0020531,D.Brees,Drew Brees,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i20xlpzdmn7xubotijjd",NO,2018,1,REG,TB,37.0,45.0,439.0,3.0,0.0,1.0,7.0,0.0,0.0,348.0,167.0,19.0,22.273555755615234,1.0,1.261494278907776,0.285484105348587,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,31.559999465942383,31.559999465942383,00-0020531,QB,2018_01_TB_NO,201809090nor,REG,BreeDr00,QB,NO,TB,64.0,100.0,0.0,0.0,0.0,0.0,64.0,00-0020531,QB,1.0,32.56,0.0,3,2020,48
00-0021206,J.McCown,Josh McCown,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qcauc37wqjdaxdbq1evu",NYJ,2018,10,REG,BUF,17.0,34.0,135.0,0.0,2.0,3.0,19.0,0.0,0.0,185.0,106.0,7.0,-21.17873954772949,0.0,0.7297297120094299,-0.0705225616693496,1.0,4.0,0.0,0.0,0.0,0.0,-0.1425987333059311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,1.7999999523162842,1.7999999523162842,00-0021206,QB,2018_10_BUF_NYJ,201811110nyj,REG,McCoJo01,QB,NYJ,BUF,56.0,100.0,0.0,0.0,0.0,0.0,56.0,00-0021206,QB,2.0,3.8,0.0,2,2019,10
00-0021547,A.Gates,Antonio Gates,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kndulvysinvn4tpvt0bc",LAC,2018,1,REG,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,3.0,16.0,0.0,0.0,0.0,27.0,5.0,1.0,0.905386447906494,1.0,0.5925925970077515,0.0599999986588954,0.0559006221592426,0.1291304379701614,0.0,3.5999999046325684,5.599999904632568,00-0021547,TE,2018_01_KC_LAC,201809090sdg,REG,GateAn00,TE,LAC,KC,33.0,40.0,0.0,0.0,0.0,0.0,33.0,00-0021547,TE,2.0,2.6,0.0,1,2018,19
00-0022127,J.Witten,Jason Witten,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/r7uafhtwuexuaty0nhsc",DAL,2019,1,REG,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,4.0,15.0,1.0,0.0,0.0,3.0,16.0,1.0,0.0604653917253017,0.0,5.0,0.125,0.0099667776376008,0.1944767385721206,0.0,7.5,10.5,00-0022127,TE,2019_01_NYG_DAL,201909080dal,REG,WittJa00,TE,DAL,NYG,45.0,66.0,0.0,0.0,6.0,0.23,51.0,00-0022127,TE,1.0,9.0,0.0,2,2020,28
00-0022787,M.Schaub,Matt Schaub,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mj2kh2nddxnw04ludcx0",ATL,2018,2,REG,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,-1.4048573970794678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,00-0022787,QB,2018_02_CAR_ATL,201809160atl,REG,SchaMa00,QB,ATL,CAR,1.0,2.0,0.0,0.0,0.0,0.0,1.0,00-0022787,QB,2.0,-2.0,0.0,3,2020,12
00-0022803,E.Manning,Eli Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w51tf8uedjftbr4qpaex",NYG,2018,1,REG,JAX,23.0,37.0,224.0,0.0,1.0,2.0,14.0,0.0,0.0,249.0,86.0,8.0,-11.798195838928224,0.0,0.8995984196662903,-0.0006408732151612,1.0,2.0,0.0,0.0,0.0,0.0,-0.4081663787364959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,7.159999847412109,7.159999847412109,00-0022803,QB,2018_01_JAX_NYG,201809090nyg,REG,MannEl00,QB,NYG,JAX,71.0,100.0,0.0,0.0,0.0,0.0,71.0,00-0022803,QB,1.0,8.16,0.0,2,2019,22
00-0022824,A.Lee,Andy Lee,P,SPEC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bfozbs2h9jueavslvw3z",ARI,2019,10,REG,TB,1.0,1.0,26.0,0.0,0.0,0.0,-0.0,0.0,0.0,26.0,0.0,1.0,4.240687370300293,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,1.0399999618530271,1.0399999618530271,00-0022824,P,2019_10_ARI_TB,201911100tam,REG,LeexAn20,P,ARI,TB,0.0,0.0,0.0,0.0,9.0,0.28,9.0,00-0022824,P,1.0,1.04,0.0,4,2022,12
00-0022921,L.Fitzgerald,Larry Fitzgerald,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ycgjjaad5un42gy4pnga",ARI,2018,1,REG,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,10.0,76.0,0.0,0.0,0.0,90.0,21.0,3.0,2.1039133071899414,0.0,0.8444444537162781,0.294117659330368,0.4326923191547394,0.7440611124038696,0.0,7.599999904632568,14.600000381469728,00-0022921,WR,2018_01_WAS_ARI,201809090crd,REG,FitzLa00,WR,ARI,WAS,52.0,98.0,0.0,0.0,0.0,0.0,52.0,00-0022921,WR,1.0,11.1,0.0,3,2020,48
00-0022924,B.Roethlisberger,Ben Roethlisberger,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vziogpnyp9d0xtpiuqhr",PIT,2018,1,REG,CLE,23.0,41.0,335.0,1.0,3.0,4.0,22.0,2.0,2.0,382.0,213.0,17.0,-6.687471389770508,0.0,0.8769633769989014,-0.0215970277786254,3.0,16.0,0.0,0.0,0.0,2.0,3.017744541168213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,9.0,9.0,00-0022924,QB,2018_01_PIT_CLE,201809090cle,REG,RoetBe00,QB,PIT,CLE,84.0,100.0,0.0,0.0,0.0,0.0,84.0,00-0022924,QB,1.0,15.0,0.0,4,2021,57
