id,sportradar_player_id,player_name,name,position,price,salary,projected_points,avg_fppg,team,recent_team,opponent_team,opponent_display,home_away,game_time,gameday,stadium,game_id,headshot_url,jersey_number,roster_status,height,weight,college,rank,prediction_rank,confidence
joe_burrow_CIN_2025,3023ac10-4e7f-425f-9fc5-2b8e6332c92e,Joe Burrow,,QB,9400,9400,20.8,20.8,CIN,CIN,CLE,@ CLE,away,Sun 09/07 13:00,2025-09-07,FirstEnergy Stadium,2025_01_CIN_CLE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jzzqz5ubkilrn9dpxtlp",9.0,ACT,76,215.0,LSU,1,1,0
patrick_mahomes_KC_2025,11cad59d-90dd-449c-a839-dddaba4fe16c,Patrick Mahomes,,QB,9100,9100,20.3,20.3,KC,KC,LAC,@ LAC,away,Fri 09/05 20:00,2025-09-05,SoFi Stadium,2025_01_KC_LAC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qrdbvu4iqy7wkqg8jq8d",15.0,ACT,74,225.0,Texas Tech,2,2,0
lamar_jackson_ATL_2025,e06a9c07-453a-4bb0-a7e9-2c3a64166dad,Lamar Jackson,,DB,8600,8600,19.0,19.0,ATL,ATL,TB,vs TB,home,Sun 09/07 13:00,2025-09-07,Mercedes-Benz Stadium,2025_01_TB_ATL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cruqs6qpbykh7a2whd7p",38.0,ACT,74,205.0,Louisville,3,3,0
josh_allen_BUF_2025,3069db07-aa43-4503-ab11-2ae5c0002721,Josh Allen,,QB,8400,8400,18.6,18.6,BUF,BUF,BAL,vs BAL,home,Sun 09/07 20:20,2025-09-07,New Era Field,2025_01_BAL_BUF,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lq4ezafbszwwt2qsvhqv",17.0,ACT,77,237.0,Wyoming,4,4,0
dak_prescott_DAL_2025,86197778-8d4b-4eba-affe-08ef7be7c70b,Dak Prescott,,QB,7900,7900,17.5,17.5,DAL,DAL,PHI,@ PHI,away,Thu 09/04 20:20,2025-09-04,Lincoln Financial Field,2025_01_DAL_PHI,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xmtaggdnhuyl4pdwtv8j",4.0,ACT,74,238.0,Mississippi State,5,5,0
jalen_hurts_PHI_2025,64bd0f02-6a5d-407e-98f1-fd02048ea21d,Jalen Hurts,,QB,7900,7900,17.5,17.5,PHI,PHI,DAL,vs DAL,home,Thu 09/04 20:20,2025-09-04,Lincoln Financial Field,2025_01_DAL_PHI,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k2p5yb4qmqwoo3qcapgt",1.0,ACT,73,223.0,Oklahoma,6,6,0
tua_tagovailoa_MIA_2025,26ad9c27-de38-495e-913c-6fb2428e76d3,Tua Tagovailoa,,QB,7600,7600,17.0,17.0,MIA,MIA,IND,@ IND,away,Sun 09/07 13:00,2025-09-07,Lucas Oil Stadium,2025_01_MIA_IND,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xzdbwt2ezmxk3pjcsr1n",1.0,ACT,73,225.0,Alabama,7,7,0
c.j._stroud_HOU_2025,7e91086f-9ca4-4bd9-a099-b88b2f37e6c6,C.J. Stroud,,QB,7600,7600,16.9,16.9,HOU,HOU,LA,@ LA,away,Sun 09/07 16:25,2025-09-07,SoFi Stadium,2025_01_HOU_LA,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fbk2eqpo54lawppgetjn",7.0,ACT,75,218.0,Ohio State,8,8,0
tyler_shough_NO_2025,94b8f9e1-3109-4429-8f71-4f79d7588237,Tyler Shough,,QB,6900,6900,15.4,15.4,NO,NO,ARI,vs ARI,home,Sun 09/07 13:00,2025-09-07,Mercedes-Benz Superdome,2025_01_ARI_NO,,6.0,ACT,77,219.0,Louisville,9,9,0
joe_flacco_CLE_2025,64797df2-efd3-4b27-86ee-1d48f7edb09f,Joe Flacco,,QB,6600,6600,14.7,14.7,CLE,CLE,CIN,vs CIN,home,Sun 09/07 13:00,2025-09-07,FirstEnergy Stadium,2025_01_CIN_CLE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxvyoeojkif7tnfviamc",15.0,ACT,78,245.0,Delaware,10,10,0
