id,sportradar_player_id,player_name,name,position,price,salary,projected_points,avg_fppg,team,recent_team,opponent_team,opponent_display,home_away,game_time,gameday,stadium,game_id,headshot_url,jersey_number,roster_status,height,weight,college,rank,prediction_rank,confidence
chase_brown_CIN_2025,d74ff06d-905d-4fed-8f98-b5f6d4549333,Chase Brown,,RB,7400,7400,14.9,14.9,CIN,CIN,CLE,@ CLE,away,Sun 09/07 13:00,2025-09-07,FirstEnergy Stadium,2025_01_CIN_CLE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rxzzjpgjgjsmmkekp6zu",30.0,ACT,70,210.0,Illinois,1,1,0
saquon_barkley_PHI_2025,9811b753-347c-467a-b3cb-85937e71e2b9,Saquon Barkley,,RB,7300,7300,14.7,14.7,PHI,PHI,DAL,vs DAL,home,Thu 09/04 20:20,2025-09-04,Lincoln Financial Field,2025_01_DAL_PHI,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ugiuanl8bf6uoya5mgid",26.0,ACT,72,233.0,Penn State,2,2,0
derrick_henry_BAL_2025,87c481c7-7414-43cc-82df-19ca0c2ae22e,Derrick Henry,,RB,7200,7200,14.5,14.5,BAL,BAL,BUF,@ BUF,away,Sun 09/07 20:20,2025-09-07,New Era Field,2025_01_BAL_BUF,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m7bv3lv9puapabltvykk",22.0,ACT,74,252.0,Alabama,3,3,0
alvin_kamara_NO_2025,d9c857b2-97da-4fb8-a527-afbbb2a67413,Alvin Kamara,,RB,7200,7200,14.5,14.5,NO,NO,ARI,vs ARI,home,Sun 09/07 13:00,2025-09-07,Mercedes-Benz Superdome,2025_01_ARI_NO,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tl9enad6kiwv6cukf4vt",41.0,ACT,70,215.0,Tennessee,4,4,0
jonathan_taylor_IND_2025,925195a4-06ba-4e37-ae7d-a3d6a5419139,Jonathan Taylor,,RB,7200,7200,14.3,14.3,IND,IND,MIA,vs MIA,home,Sun 09/07 13:00,2025-09-07,Lucas Oil Stadium,2025_01_MIA_IND,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ye4runp84oku1vnodsa7",28.0,ACT,70,226.0,Wisconsin,5,5,0
jahmyr_gibbs_DET_2025,fef9457e-6497-47de-9bf2-cc3b95929375,Jahmyr Gibbs,,RB,7000,7000,14.0,14.0,DET,DET,GB,@ GB,away,Sun 09/07 16:25,2025-09-07,Lambeau Field,2025_01_DET_GB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f5y3osxxtov5rgfv4ra5",,ACT,69,202.0,Alabama,6,6,0
josh_jacobs_GB_2025,61694ab9-b099-408e-b48d-6a643dd069ec,Josh Jacobs,,RB,6900,6900,13.8,13.8,GB,GB,DET,vs DET,home,Sun 09/07 16:25,2025-09-07,Lambeau Field,2025_01_DET_GB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ksdusqxnwqtnph0htcfx",8.0,ACT,70,223.0,Alabama,7,7,0
bijan_robinson_ATL_2025,f78d68c2-f9da-48e7-b954-26b69efd828d,Bijan Robinson,,RB,6800,6800,13.5,13.5,ATL,ATL,TB,vs TB,home,Sun 09/07 13:00,2025-09-07,Mercedes-Benz Stadium,2025_01_TB_ATL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rydwvaod6ethdjap41l6",7.0,ACT,71,215.0,Texas,8,8,0
christian_mccaffrey_SF_2025,f96db0af-5e25-42d1-a07a-49b4e065b364,Christian McCaffrey,,RB,6700,6700,13.4,13.4,SF,SF,SEA,@ SEA,away,Sun 09/07 16:05,2025-09-07,Lumen Field,2025_01_SF_SEA,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/umiv5sn2xxrjdjwjtkqm",23.0,ACT,71,210.0,Stanford,9,9,0
chuba_hubbard_CAR_2025,32205e74-b23f-420a-b312-465b29260745,Chuba Hubbard,,RB,6600,6600,13.2,13.2,CAR,CAR,JAX,@ JAX,away,Sun 09/07 13:00,2025-09-07,TIAA Bank Stadium,2025_01_CAR_JAX,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oyis5zooijf0xfme9csj",30.0,ACT,73,210.0,Oklahoma State,10,10,0
