id,sportradar_player_id,player_name,name,position,price,salary,projected_points,avg_fppg,team,recent_team,opponent_team,opponent_display,home_away,game_time,gameday,stadium,game_id,headshot_url,jersey_number,roster_status,height,weight,college,rank,prediction_rank,confidence
trey_mcbride_ARI_2025,734d54cc-c869-4e2f-a60f-c59c493f5110,Trey McBride,,TE,6600,6600,13.2,13.2,ARI,ARI,NO,@ NO,away,Sun 09/07 13:00,2025-09-07,Mercedes-Benz Superdome,2025_01_ARI_NO,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hfdgljgi9gfaskomdl1h",85.0,ACT,76,246.0,Colorado State,1,1,0
george_kittle_SF_2025,2ada91b0-036e-454f-83c3-6d939ff584a9,George Kittle,,TE,6600,6600,13.1,13.1,SF,SF,SEA,@ SEA,away,Sun 09/07 16:05,2025-09-07,Lumen Field,2025_01_SF_SEA,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ivkrikewqqdllzvano8h",85.0,ACT,76,250.0,Iowa,2,2,0
dallas_goedert_PHI_2025,e8029983-87cf-49a2-bc04-04c8233a0630,Dallas Goedert,,TE,5700,5700,11.4,11.4,PHI,PHI,DAL,vs DAL,home,Thu 09/04 20:20,2025-09-04,Lincoln Financial Field,2025_01_DAL_PHI,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wfj54vhw1zxwwb3vdi61",88.0,ACT,77,256.0,South Dakota State,3,3,0
brock_bowers_LV_2025,ad9fc7e3-0a6d-4e41-84c2-cf43b71aee13,Brock Bowers,,TE,5400,5400,10.9,10.9,LV,LV,NE,@ NE,away,Sun 09/07 13:00,2025-09-07,Gillette Stadium,2025_01_LV_NE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjy86xh8munoiur4hejf",89.0,ACT,76,235.0,Georgia,4,4,0
david_njoku_CLE_2025,8f86fcea-90e8-49ea-bc78-5c7659313e57,David Njoku,,TE,4800,4800,9.6,9.6,CLE,CLE,CIN,vs CIN,home,Sun 09/07 13:00,2025-09-07,FirstEnergy Stadium,2025_01_CIN_CLE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ilvxwdllivrvwbuj69cm",85.0,ACT,76,246.0,Miami (FL),5,5,0
cade_otton_TB_2025,f23517bd-ae85-484a-8ecb-1f7a2d851e48,Cade Otton,,TE,4600,4600,9.1,9.1,TB,TB,ATL,@ ATL,away,Sun 09/07 13:00,2025-09-07,Mercedes-Benz Stadium,2025_01_TB_ATL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mljam77kst1wlqd5y91v",88.0,ACT,77,247.0,Washington,6,6,0
mike_gesicki_CIN_2025,1012cbe0-7eba-4169-bfca-183a0204e1a7,Mike Gesicki,,TE,4600,4600,9.1,9.1,CIN,CIN,CLE,@ CLE,away,Sun 09/07 13:00,2025-09-07,FirstEnergy Stadium,2025_01_CIN_CLE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zabpknonv9ozmkyw4qqt",88.0,ACT,78,245.0,Penn State,7,7,0
travis_kelce_KC_2025,c3859e06-5f23-4302-a71b-04820a899d5f,Travis Kelce,,TE,4500,4500,9.0,9.0,KC,KC,LAC,@ LAC,away,Fri 09/05 20:00,2025-09-05,SoFi Stadium,2025_01_KC_LAC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilk4qbxxs6mt3v9zfvtg",87.0,ACT,77,250.0,Cincinnati,8,8,0
sam_laporta_DET_2025,3059f1e5-1871-4458-9e90-9b9917874c61,Sam LaPorta,,TE,4500,4500,9.0,9.0,DET,DET,GB,@ GB,away,Sun 09/07 16:25,2025-09-07,Lambeau Field,2025_01_DET_GB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ucw8cfj5t5nwkx670wzu",87.0,ACT,75,245.0,Iowa,9,9,0
t.j._hockenson_MIN_2025,bd1120b6-38b3-4225-a4b0-20660a149d0d,T.J. Hockenson,,TE,4100,4100,8.2,8.2,MIN,MIN,CHI,@ CHI,away,Mon 09/08 20:15,2025-09-08,Soldier Field,2025_01_MIN_CHI,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n9zhffstwzae8i5di6tk",87.0,ACT,77,248.0,Iowa,10,10,0
tucker_kraft_GB_2025,3a084c5f-6b9f-4703-a0c7-1566bc4b1129,Tucker Kraft,,TE,4000,4000,7.8,7.8,GB,GB,DET,vs DET,home,Sun 09/07 16:25,2025-09-07,Lambeau Field,2025_01_DET_GB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/klrmgekdzx1ywjjmixp7",85.0,ACT,77,259.0,South Dakota State,11,11,0
juwan_johnson_NO_2025,0226b03b-f91d-4223-9813-9fcd2e9c3acc,Juwan Johnson,,TE,4000,4000,7.7,7.7,NO,NO,ARI,vs ARI,home,Sun 09/07 13:00,2025-09-07,Mercedes-Benz Superdome,2025_01_ARI_NO,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pdsl9w3agc9uvjqpq1jy",83.0,ACT,76,231.0,Oregon,12,12,0
