id,sportradar_player_id,player_name,name,position,price,salary,projected_points,avg_fppg,team,recent_team,opponent_team,opponent_display,home_away,game_time,gameday,stadium,game_id,headshot_url,jersey_number,roster_status,rank,prediction_rank,confidence
lamar_jackson_ATL_2025,,Lamar Jackson,Lamar Jackson,QB,14300,14300,28.6,28.6,ATL,ATL,TB,vs TB,home,Sun 09/07 13:00,2025-09-07,Mercedes-Benz Stadium,2025_01_TB_ATL,,,ACT,1,1,0
patrick_mahomes_KC_2025,,Patrick Mahomes,Patrick Mahomes,QB,13800,13800,27.6,27.6,KC,KC,LAC,@ LAC,away,Fri 09/05 20:00,2025-09-05,SoFi Stadium,2025_01_KC_LAC,,,ACT,2,2,0
joe_burrow_CIN_2025,,Joe Burrow,Joe Burrow,QB,13400,13400,26.9,26.9,CIN,CIN,CLE,@ CLE,away,Sun 09/07 13:00,2025-09-07,FirstEnergy Stadium,2025_01_CIN_CLE,,,ACT,3,3,0
josh_allen_BUF_2025,,Josh Allen,Josh Allen,QB,12800,12800,25.6,25.6,BUF,BUF,BAL,vs BAL,home,Sun 09/07 20:20,2025-09-07,New Era Field,2025_01_BAL_BUF,,,ACT,4,4,0
jalen_hurts_PHI_2025,,Jalen Hurts,Jalen Hurts,QB,11100,11100,22.2,22.2,PHI,PHI,DAL,vs DAL,home,Thu 09/04 20:20,2025-09-04,Lincoln Financial Field,2025_01_DAL_PHI,,,ACT,5,5,0
tyler_shough_NO_2025,,Tyler Shough,Tyler Shough,QB,11000,11000,22.0,22.0,NO,NO,ARI,vs ARI,home,Sun 09/07 13:00,2025-09-07,Mercedes-Benz Superdome,2025_01_ARI_NO,,,ACT,6,6,0
tua_tagovailoa_MIA_2025,,Tua Tagovailoa,Tua Tagovailoa,QB,10500,10500,21.0,21.0,MIA,MIA,IND,@ IND,away,Sun 09/07 13:00,2025-09-07,Lucas Oil Stadium,2025_01_MIA_IND,,,ACT,7,7,0
dak_prescott_DAL_2025,,Dak Prescott,Dak Prescott,QB,10200,10200,20.4,20.4,DAL,DAL,PHI,@ PHI,away,Thu 09/04 20:20,2025-09-04,Lincoln Financial Field,2025_01_DAL_PHI,,,ACT,8,8,0
c.j._stroud_HOU_2025,,C.J. Stroud,C.J. Stroud,QB,10100,10100,20.2,20.2,HOU,HOU,LA,@ LA,away,Sun 09/07 16:25,2025-09-07,SoFi Stadium,2025_01_HOU_LA,,,ACT,9,9,0
jayden_daniels_WAS_2025,,Jayden Daniels,Jayden Daniels,QB,9300,9300,18.6,18.6,WAS,WAS,NYG,vs NYG,home,Sun 09/07 13:00,2025-09-07,FedExField,2025_01_NYG_WAS,,,ACT,10,10,0
jared_goff_DET_2025,,Jared Goff,Jared Goff,QB,8900,8900,17.8,17.8,DET,DET,GB,@ GB,away,Sun 09/07 16:25,2025-09-07,Lambeau Field,2025_01_DET_GB,,,ACT,11,11,0
baker_mayfield_TB_2025,,Baker Mayfield,Baker Mayfield,QB,8800,8800,17.5,17.5,TB,TB,ATL,@ ATL,away,Sun 09/07 13:00,2025-09-07,Mercedes-Benz Stadium,2025_01_TB_ATL,,,ACT,12,12,0
bryce_young_CAR_2025,,Bryce Young,Bryce Young,QB,8600,8600,17.2,17.2,CAR,CAR,JAX,@ JAX,away,Sun 09/07 13:00,2025-09-07,TIAA Bank Stadium,2025_01_CAR_JAX,,,ACT,13,13,0
